"when","monitor_ambient_1","monitor_ambient_2","pipe_inlet","pipe_outlet","sensor_A","sensor_AB","sensor_CD","sensor_EF","sensor_F","sensor_G","sensor_GH","sensor_H","sensor_K","sensor_L","sensor_M","sensor_N","sensor_O","sensor_Q","sensor_T","sensor_U","sensor_X","sensor_Z"
"2018.09.16",24.6419 ,22.7273 ,21.8039 ,21.0173 ,52.5219 ,53.7779 ,62.8354 ,60.1759 ,64.0630 ,61.6761 ,58.4770 ,21.1923 , , , ,56.4366 ,50.3178 ,63.3910 ,70.2492 ,60.7961 , ,54.8086 
"2018.09.17",23.2859 ,21.8077 ,21.4258 ,21.0860 ,53.3843 ,53.7637 ,61.9781 ,67.1233 ,67.4757 ,62.7298 ,66.2158 ,21.4775 , , , ,61.0679 ,50.8574 ,66.6878 ,72.6098 ,61.2897 , ,55.6565 
"2018.09.18",22.0333 ,22.4574 ,21.8456 ,21.6257 ,50.2036 ,53.8045 ,57.7335 ,66.6526 ,69.7411 ,63.2260 ,68.9147 ,22.2437 , , , ,60.1063 ,51.0385 ,67.6081 ,70.7880 ,61.3060 , ,56.2786 
"2018.09.19",21.0168 ,21.5433 ,21.3570 ,20.5105 ,47.3731 ,52.3062 ,58.8759 ,63.1083 ,70.1708 ,63.0305 ,66.4949 ,21.2465 , , , ,55.8896 ,48.8376 ,66.2204 ,67.7184 ,60.8837 , ,54.5965 
"2018.09.20",17.6775 ,18.1555 ,18.3043 ,17.3391 , ,46.5770 ,55.6069 ,65.8618 ,69.5841 ,62.2115 ,67.9104 ,17.8906 , , , ,60.4492 ,45.6917 ,65.9931 ,66.1547 ,59.7906 , ,54.7086 
"2018.09.21",18.5255 ,18.9775 ,18.5765 ,18.3538 , ,43.1285 ,54.0920 ,65.7499 ,69.3317 ,61.5076 ,68.0352 ,18.7523 , , , ,59.2251 ,43.1698 ,67.1127 ,66.0923 ,58.6747 , ,54.3315 
"2018.09.22",17.8157 ,18.0858 ,18.4825 ,18.0959 , ,43.7778 ,45.8473 ,60.7445 ,68.6715 ,60.5801 ,64.0053 ,18.9028 ,71.0290 ,51.4476 ,70.5282 ,53.3915 ,41.9463 ,64.6293 ,64.5930 ,57.6166 ,34.3300 ,51.9291 
"2018.09.23",14.1744 ,14.1363 ,15.5403 ,14.1796 , ,42.5309 ,47.2480 ,54.6795 ,67.3746 ,58.9004 ,59.4339 ,14.3894 ,69.3723 ,47.9259 ,67.0858 ,43.6483 ,40.3490 ,61.0120 ,61.1336 ,56.0192 ,32.2390 ,47.0683 
"2018.09.24",13.0907 ,13.1381 ,13.8550 ,13.7541 , ,39.9136 ,44.7661 ,54.6759 ,65.2636 ,56.2672 ,58.9910 ,13.3468 ,66.3396 ,53.2805 ,63.2205 ,49.4983 ,38.7312 ,57.8113 ,59.5766 ,54.3211 ,30.5848 ,45.3237 
"2018.09.25",13.5600 ,13.6463 ,14.4035 ,13.8243 , ,29.7121 ,42.8838 ,51.7121 ,64.1331 ,53.9198 ,57.6519 ,13.7923 ,65.6088 ,48.9156 ,64.5957 ,42.4597 ,36.0347 ,57.5774 ,58.9366 ,51.6635 ,29.1810 ,44.1830 
"2018.09.26",20.3685 ,20.0222 ,17.1136 ,16.5992 , ,24.9506 ,40.9958 ,48.5094 ,63.5081 ,52.8187 ,54.5014 ,17.2006 ,65.2186 ,45.3539 ,63.5044 ,39.0411 ,36.5384 ,55.1507 ,56.0261 ,50.4126 ,38.8111 ,44.3029 
"2018.09.27",16.1539 ,16.1868 ,18.4773 ,16.2045 , ,33.7642 ,45.8267 ,55.6335 ,62.1868 ,53.1884 ,59.9886 ,16.2841 ,64.5057 ,47.4034 ,64.1818 ,44.5730 ,37.4998 ,58.7480 ,56.9375 ,50.5625 ,30.7500 ,45.0771 
"2018.09.28",13.5401 ,13.4320 ,14.6327 ,13.5510 , ,32.2962 ,43.1502 ,49.2957 ,62.0626 ,52.9911 ,54.6813 ,13.4758 ,64.6792 ,39.9297 ,63.4317 ,40.6838 ,36.1280 ,56.4272 ,53.9307 ,50.5970 ,29.4334 ,43.7938 
"2018.09.29",14.1784 ,14.0668 ,17.1746 ,25.4129 , ,31.6808 ,40.7955 ,47.8180 ,60.6629 ,51.6023 ,52.7428 ,16.0173 ,62.0299 ,43.6972 ,59.7040 ,40.0655 ,33.9814 ,53.7141 ,50.0635 ,49.7234 ,27.8410 ,41.8443 
"2018.09.30",13.3158 ,13.0870 ,15.6058 ,24.7729 , ,31.1980 ,39.4221 ,45.7172 ,59.3964 ,50.4166 ,50.3217 ,13.7022 ,60.7277 ,43.6914 ,58.5367 ,37.7328 ,31.7992 ,51.5686 ,47.6402 ,49.0484 ,26.1998 ,40.8660 
"2018.10.01",16.4604 ,16.3568 ,17.3896 ,26.4466 , ,31.1695 ,39.2927 ,43.8663 ,57.6248 ,48.8537 ,48.2671 ,17.1246 ,59.0632 ,42.2535 ,57.0349 ,36.5782 ,31.5101 ,49.7569 ,45.6628 ,48.1511 ,26.9801 ,40.1989 
"2018.10.02",17.0543 ,16.9072 ,17.8751 ,26.2262 , ,32.4476 ,39.5282 ,42.5979 ,56.0135 ,47.7245 ,46.7986 ,17.5156 ,57.7134 ,41.3945 ,55.9939 ,35.9844 ,31.6508 ,48.4938 ,44.9256 ,47.5537 ,28.3997 ,39.7154 
"2018.10.03",17.2666 ,16.8030 , , , , , , , , , , , , , , , , , , , , 
"2018.10.04",17.4170 ,17.1611 , , , , , , , , , , , , , , , , , , , , 
"2018.10.05",15.4829 ,15.7070 , , , , , , , , , , , , , , , , , , , , 
"2018.10.06",16.0752 ,16.2467 , , , , , , , , , , , , , , , , , , , , 
"2018.10.07",19.6967 ,19.5965 ,18.6404 ,19.0361 , ,37.0795 ,31.5285 ,29.5740 ,43.0422 ,37.8550 ,34.9035 ,21.0930 ,46.0074 ,23.3303 ,42.2178 ,24.4116 ,32.6531 ,34.6760 ,37.4075 ,39.0943 ,28.5470 ,28.3798 
"2018.10.08",17.2330 ,17.2040 ,16.3192 ,18.5865 , ,36.6424 ,30.0454 ,35.0227 ,42.5335 ,37.6498 ,38.3059 ,16.6567 ,44.7929 ,30.8521 ,41.9945 ,32.3114 ,31.4998 ,35.7929 ,40.4629 ,38.8463 ,27.4716 ,31.7799 
"2018.10.09",18.9022 ,18.9214 ,18.4493 ,20.7922 , ,34.5699 ,30.1033 ,40.8348 ,42.8167 ,38.1112 ,43.6836 ,18.9664 ,44.3029 ,37.5798 ,44.3698 ,38.1517 ,31.1316 ,40.0284 ,46.4604 ,38.2381 ,26.8436 ,34.8898 
"2018.10.10",20.8157 ,20.7063 ,20.8982 ,23.3443 , ,36.4779 ,33.3775 ,44.6311 ,44.2449 ,39.3857 ,47.5115 ,21.6418 ,46.2016 ,42.7578 ,48.0272 ,41.8031 ,32.8295 ,43.9211 ,50.5190 ,38.6750 ,28.3873 ,37.8028 
"2018.10.11",21.2827 ,21.2696 ,20.4601 ,23.5357 , ,38.0115 ,35.2335 ,46.8196 ,46.0341 ,40.8067 ,49.7952 ,21.5324 ,48.7051 ,46.1321 ,51.0821 ,43.8374 ,34.0028 ,46.5088 ,52.8358 ,39.6912 ,30.6197 ,39.5148 
"2018.10.12",14.0106 ,15.2454 ,14.0307 ,17.7878 , ,35.9732 ,27.5673 ,47.5209 ,50.4467 ,42.9752 ,51.2421 ,12.7689 , , , ,44.1476 ,31.0286 ,48.9774 ,53.0380 ,41.0356 , ,38.8071 
"2018.10.13",11.6785 ,12.8713 ,9.6803 ,13.0441 , ,31.5143 ,28.1928 ,47.3333 ,53.1702 ,42.8752 ,51.8314 ,8.9459 , , , ,43.6303 ,27.4650 ,49.5525 ,52.4274 ,40.4023 , ,37.4566 
"2018.10.14",10.5630 ,11.9264 ,9.4635 ,12.7386 , ,27.3160 ,30.2080 ,45.5798 ,54.0971 ,41.9799 ,50.5834 ,8.7074 , , , ,41.6229 ,24.0742 ,49.4705 ,51.0546 ,39.4580 , ,36.1672 
"2018.10.15",13.7775 ,14.1508 ,12.5736 ,15.5064 , ,25.4160 ,31.3407 ,43.8004 ,53.5062 ,40.7541 ,48.7804 ,12.5182 , , , ,40.3462 ,22.7971 ,48.8379 ,49.2430 ,38.6193 , ,35.9954 
"2018.10.16",12.3212 ,11.4180 ,9.7657 ,12.2777 , ,24.7053 ,22.9435 ,43.0429 ,52.5061 ,39.6880 ,48.2391 ,9.1221 , , , ,40.6200 ,20.8849 ,47.9924 ,48.4318 ,37.8300 , ,35.4409 
"2018.10.17",11.4781 ,11.0092 ,9.3895 ,12.1083 , ,21.7021 ,23.9970 ,40.8338 ,51.8942 ,38.3167 ,46.3528 ,8.6728 , , , ,38.3792 ,18.2637 ,46.8827 ,46.4563 ,36.3538 , ,33.7267 
"2018.10.18",9.0421 ,8.0827 ,7.1110 ,9.3005 , ,18.9961 ,17.2515 ,39.0789 ,50.8921 ,36.8214 ,44.9531 ,5.9439 , , , ,37.0810 ,15.2383 ,45.4865 ,44.3191 ,34.8146 , ,32.1360 
"2018.10.19",9.5723 ,9.3268 ,8.3232 ,10.8049 , ,16.0449 ,18.3152 ,36.1720 ,49.7821 ,35.0564 ,42.3686 ,7.5167 , , , ,33.9929 ,13.2162 ,43.7906 ,40.9077 ,32.9418 , ,30.3368 
"2018.10.20",12.0921 ,11.8930 ,11.5624 ,13.5205 , ,16.0340 ,20.5409 ,34.2018 ,47.7466 ,33.5250 ,40.2053 ,11.6438 , , , ,33.0110 ,14.1049 ,42.1730 ,37.8858 ,31.9562 , ,30.3706 
"2018.10.21",8.9571 ,8.4810 ,7.1752 ,9.2867 , ,16.0389 ,17.8918 ,32.7293 ,46.1521 ,32.6637 ,38.6675 ,6.4300 ,50.7899 ,28.3545 ,48.2382 ,32.0522 ,12.7208 ,40.7308 ,35.7166 ,31.3589 ,9.6688 ,29.1076 
"2018.10.22",7.6930 ,7.7801 ,6.9119 ,15.6130 , ,12.7004 ,24.8413 ,29.4659 ,44.3954 ,30.3803 ,35.5488 ,4.7742 ,48.3865 ,30.5771 ,45.0696 ,27.1862 ,10.0266 ,37.8404 ,31.6197 ,28.7318 ,8.2496 ,26.1401 
"2018.10.23",9.7659 ,9.7615 ,9.1711 ,9.3881 , ,12.3555 ,27.0511 ,29.5441 ,43.6705 ,29.7480 ,35.0625 ,8.9462 ,47.5996 ,33.4960 ,44.4502 ,29.4701 ,10.0837 ,37.0797 ,30.6907 ,28.3146 ,8.7758 ,26.3008 
"2018.10.24",8.7152 ,8.5646 , , , , , , , , , , , , , , , , , , , , 
"2018.10.25",6.9558 ,6.9818 , , , , , , , , , , , , , , , , , , , , 
"2018.10.26",6.5535 ,6.6041 , , , , , , , , , , , , , , , , , , , , 
"2018.10.27",7.0482 ,7.5293 ,5.9241 ,12.8065 , ,9.2037 ,34.2948 ,24.8799 ,37.9173 ,25.1673 ,29.5089 ,4.1652 ,43.5945 ,30.3361 ,41.1191 ,24.1841 ,7.6117 ,32.5325 ,25.0979 ,23.9016 ,7.6383 ,22.2475 
"2018.10.28",8.5490 ,8.7595 , , , , , , , , , , , , , , , , , , , , 
"2018.10.29",9.4078 ,9.5818 , , , , , , , , , , , , , , , , , , , , 
"2018.10.30",8.2839 ,8.4472 , , , , , , , , , , , , , , , , , , , , 
"2018.10.31",8.6220 ,8.7154 , , , , , , , , , , , , , , , , , , , , 
"2018.11.01",12.4673 ,11.9048 , , , , , , , , , , , , , , , , , , , , 
"2018.11.02",15.2178 ,14.4548 , , , , , , , , , , , , , , , , , , , , 
"2018.11.03",13.0081 ,13.1811 , , , , , , , , , , , , , , , , , , , , 
"2018.11.04",10.0058 ,10.9294 , , , , , , , , , , , , , , , , , , , , 
"2018.11.05",9.6884 ,10.3846 , , , , , , , , , , , , , , , , , , , , 
"2018.11.06",11.0565 ,11.2303 , , , , , , , , , , , , , , , , , , , , 
"2018.11.07",11.5899 ,11.6009 , , , , , , , , , , , , , , , , , , , , 
"2018.11.08",10.0142 ,10.6814 , , , ,11.0085 ,25.2031 ,19.1463 ,23.5000 ,18.7500 ,19.8778 , ,28.1250 ,24.3864 ,27.0000 ,20.3224 ,9.6918 ,22.8125 ,18.5014 ,17.9474 ,13.9616 ,17.6861 
"2018.11.09",7.2998 ,8.6327 , , , , , , , , , , , , , , , , , , , , 
