"when","monitor_ambient_1","monitor_ambient_2","pipe_inlet","pipe_outlet","sensor_A","sensor_AB","sensor_CD","sensor_EF","sensor_F","sensor_G","sensor_GH","sensor_H","sensor_K","sensor_L","sensor_M","sensor_N","sensor_O","sensor_Q","sensor_T","sensor_U","sensor_X","sensor_Z"
"2018.09.16",24.6419 ,22.7273 ,21.8039 ,21.0173 ,52.5219 ,53.7779 ,62.8354 ,60.1759 ,64.0630 ,61.6761 ,58.4770 ,21.1923 , , , ,56.4366 ,50.3178 ,63.3910 ,70.2492 ,60.7961 , ,54.8086 
"2018.09.17",23.2859 ,21.8077 ,21.4258 ,21.0860 ,53.3843 ,53.7637 ,61.9781 ,67.1233 ,67.4757 ,62.7298 ,66.2158 ,21.4775 , , , ,61.0679 ,50.8574 ,66.6878 ,72.6098 ,61.2897 , ,55.6565 
"2018.09.18",22.0333 ,22.4574 ,21.8456 ,21.6257 ,50.2036 ,53.8045 ,57.7335 ,66.6526 ,69.7411 ,63.2260 ,68.9147 ,22.2437 , , , ,60.1063 ,51.0385 ,67.6081 ,70.7880 ,61.3060 , ,56.2786 
"2018.09.19",21.0168 ,21.5433 ,21.3570 ,20.5105 ,47.3731 ,52.3062 ,58.8759 ,63.1083 ,70.1708 ,63.0305 ,66.4949 ,21.2465 , , , ,55.8896 ,48.8376 ,66.2204 ,67.7184 ,60.8837 , ,54.5965 
"2018.09.20",17.6775 ,18.1555 ,18.3043 ,17.3391 , ,46.5770 ,55.6069 ,65.8618 ,69.5841 ,62.2115 ,67.9104 ,17.8906 , , , ,60.4492 ,45.6917 ,65.9931 ,66.1547 ,59.7906 , ,54.7086 
"2018.09.21",18.5255 ,18.9775 ,18.5765 ,18.3538 , ,43.1285 ,54.0920 ,65.7499 ,69.3317 ,61.5076 ,68.0352 ,18.7523 , , , ,59.2251 ,43.1698 ,67.1127 ,66.0923 ,58.6747 , ,54.3315 
"2018.09.22",17.8157 ,18.0858 ,18.4825 ,18.0959 , ,43.7778 ,45.8473 ,60.7445 ,68.6715 ,60.5801 ,64.0053 ,18.9028 ,71.0290 ,51.4476 ,70.5282 ,53.3915 ,41.9463 ,64.6293 ,64.5930 ,57.6166 ,34.3300 ,51.9291 
"2018.09.23",14.1744 ,14.1363 ,15.5403 ,14.1796 , ,42.5309 ,47.2480 ,54.6795 ,67.3746 ,58.9004 ,59.4339 ,14.3894 ,69.3723 ,47.9259 ,67.0858 ,43.6483 ,40.3490 ,61.0120 ,61.1336 ,56.0192 ,32.2390 ,47.0683 
"2018.09.24",13.0907 ,13.1381 ,13.8550 ,13.7541 , ,39.9136 ,44.7661 ,54.6759 ,65.2636 ,56.2672 ,58.9910 ,13.3468 ,66.3396 ,53.2805 ,63.2205 ,49.4983 ,38.7312 ,57.8113 ,59.5766 ,54.3211 ,30.5848 ,45.3237 
"2018.09.25",13.5600 ,13.6463 ,14.4035 ,13.8243 , ,29.7121 ,42.8838 ,51.7121 ,64.1331 ,53.9198 ,57.6519 ,13.7923 ,65.6088 ,48.9156 ,64.5957 ,42.4597 ,36.0347 ,57.5774 ,58.9366 ,51.6635 ,29.1810 ,44.1830 
"2018.09.26",20.3685 ,20.0222 ,17.1136 ,16.5992 , ,24.9506 ,40.9958 ,48.5094 ,63.5081 ,52.8187 ,54.5014 ,17.2006 ,65.2186 ,45.3539 ,63.5044 ,39.0411 ,36.5384 ,55.1507 ,56.0261 ,50.4126 ,38.8111 ,44.3029 
"2018.09.27",16.1539 ,16.1868 ,18.4773 ,16.2045 , ,33.7642 ,45.8267 ,55.6335 ,62.1868 ,53.1884 ,59.9886 ,16.2841 ,64.5057 ,47.4034 ,64.1818 ,44.5730 ,37.4998 ,58.7480 ,56.9375 ,50.5625 ,30.7500 ,45.0771 
"2018.09.28",13.5401 ,13.4320 ,14.6327 ,13.5510 , ,32.2962 ,43.1502 ,49.2957 ,62.0626 ,52.9911 ,54.6813 ,13.4758 ,64.6792 ,39.9297 ,63.4317 ,40.6838 ,36.1280 ,56.4272 ,53.9307 ,50.5970 ,29.4334 ,43.7938 
"2018.09.29",14.1784 ,14.0668 ,17.1746 ,25.4129 , ,31.6808 ,40.7955 ,47.8180 ,60.6629 ,51.6023 ,52.7428 ,16.0173 ,62.0299 ,43.6972 ,59.7040 ,40.0655 ,33.9814 ,53.7141 ,50.0635 ,49.7234 ,27.8410 ,41.8443 
"2018.09.30",13.3158 ,13.0870 ,15.6058 ,24.7729 , ,31.1980 ,39.4221 ,45.7172 ,59.3964 ,50.4166 ,50.3217 ,13.7022 ,60.7277 ,43.6914 ,58.5367 ,37.7328 ,31.7992 ,51.5686 ,47.6402 ,49.0484 ,26.1998 ,40.8660 
"2018.10.01",16.4604 ,16.3568 ,17.3896 ,26.4466 , ,31.1695 ,39.2927 ,43.8663 ,57.6248 ,48.8537 ,48.2671 ,17.1246 ,59.0632 ,42.2535 ,57.0349 ,36.5782 ,31.5101 ,49.7569 ,45.6628 ,48.1511 ,26.9801 ,40.1989 
"2018.10.02",17.0543 ,16.9072 ,17.8751 ,26.2262 , ,32.4476 ,39.5282 ,42.5979 ,56.0135 ,47.7245 ,46.7986 ,17.5156 ,57.7134 ,41.3945 ,55.9939 ,35.9844 ,31.6508 ,48.4938 ,44.9256 ,47.5537 ,28.3997 ,39.7154 
"2018.10.03",17.2666 ,16.8030 , , , , , , , , , , , , , , , , , , , , 
"2018.10.04",17.4170 ,17.1611 , , , , , , , , , , , , , , , , , , , , 
"2018.10.05",15.4829 ,15.7070 , , , , , , , , , , , , , , , , , , , , 
"2018.10.06",16.0752 ,16.2467 , , , , , , , , , , , , , , , , , , , , 
"2018.10.07",19.6967 ,19.5965 ,18.6404 ,19.0361 , ,37.0795 ,31.5285 ,29.5740 ,43.0422 ,37.8550 ,34.9035 ,21.0930 ,46.0074 ,23.3303 ,42.2178 ,24.4116 ,32.6531 ,34.6760 ,37.4075 ,39.0943 ,28.5470 ,28.3798 
"2018.10.08",17.2330 ,17.2040 ,16.3192 ,18.5865 , ,36.6424 ,30.0454 ,35.0227 ,42.5335 ,37.6498 ,38.3059 ,16.6567 ,44.7929 ,30.8521 ,41.9945 ,32.3114 ,31.4998 ,35.7929 ,40.4629 ,38.8463 ,27.4716 ,31.7799 
"2018.10.09",18.9022 ,18.9214 ,18.4493 ,20.7922 , ,34.5699 ,30.1033 ,40.8348 ,42.8167 ,38.1112 ,43.6836 ,18.9664 ,44.3029 ,37.5798 ,44.3698 ,38.1517 ,31.1316 ,40.0284 ,46.4604 ,38.2381 ,26.8436 ,34.8898 
"2018.10.10",20.8157 ,20.7063 ,20.8982 ,23.3443 , ,36.4779 ,33.3775 ,44.6311 ,44.2449 ,39.3857 ,47.5115 ,21.6418 ,46.2016 ,42.7578 ,48.0272 ,41.8031 ,32.8295 ,43.9211 ,50.5190 ,38.6750 ,28.3873 ,37.8028 
"2018.10.11",21.2827 ,21.2696 ,20.4601 ,23.5357 , ,38.0115 ,35.2335 ,46.8196 ,46.0341 ,40.8067 ,49.7952 ,21.5324 ,48.7051 ,46.1321 ,51.0821 ,43.8374 ,34.0028 ,46.5088 ,52.8358 ,39.6912 ,30.6197 ,39.5148 
"2018.10.12",14.0106 ,15.2454 ,14.0307 ,17.7878 , ,35.9732 ,27.5673 ,47.5209 ,50.4467 ,42.9752 ,51.2421 ,12.7689 , , , ,44.1476 ,31.0286 ,48.9774 ,53.0380 ,41.0356 , ,38.8071 
"2018.10.13",12.4112 ,13.4538 ,9.4939 ,13.8885 , ,33.3790 ,28.4723 ,47.7192 ,52.3857 ,43.0679 ,51.9948 ,8.7030 , , , ,43.7650 ,28.7555 ,49.4296 ,52.8110 ,40.6296 , ,37.8619 
