"when","monitor_ambient_1","monitor_ambient_2","pipe_inlet","pipe_outlet","sensor_A","sensor_AB","sensor_CD","sensor_EF","sensor_F","sensor_G","sensor_GH","sensor_H","sensor_K","sensor_L","sensor_M","sensor_N","sensor_O","sensor_Q","sensor_T","sensor_U","sensor_X","sensor_Z"
"2018.09.16_17:0",22.2857 ,22.0893 , , , , , , , , , , , , , , , , , , , , 
"2018.09.16_17:3",26.3403 ,26.6875 ,26.6875 ,24.4375 ,50.0625 ,52.6875 ,61.5104 ,59.8125 ,63.4375 ,61.4375 ,58.5000 ,24.6875 , , , ,54.3021 ,49.2500 ,63.5000 ,69.5417 ,60.7500 , ,54.6875 
"2018.09.16_17:4",24.8062 ,24.8375 ,26.6307 ,24.3068 ,50.6989 ,52.7313 ,61.6125 ,59.7500 ,63.4375 ,61.4375 ,58.4438 ,24.5455 , , , ,54.7750 ,49.2938 ,63.5000 ,69.5438 ,60.7500 , ,54.7250 
"2018.09.16_17:5",24.3687 ,24.0188 ,22.0500 ,24.0063 ,44.0750 ,52.7841 ,61.7500 ,59.7045 ,63.4773 ,61.4432 ,58.3693 ,24.1812 , , , ,52.6705 ,49.3920 ,63.5455 ,69.5795 ,60.7443 , ,54.7500 
"2018.09.16_18:0",24.3611 ,23.9375 ,22.8000 ,23.7250 ,36.4188 ,52.8687 ,61.9062 ,59.4937 ,63.5000 ,61.4625 ,58.3188 ,23.9125 , , , ,48.4000 ,49.4750 ,63.5625 ,69.6250 ,60.7437 , ,54.6500 
"2018.09.16_18:1",24.3438 ,23.8125 ,23.5511 ,23.4602 ,39.0568 ,52.9500 ,62.0375 ,59.1000 ,63.5000 ,61.4937 ,58.2375 ,23.6136 , , , ,47.1875 ,49.5688 ,63.5625 ,69.6250 ,60.7250 , ,54.4375 
"2018.09.16_18:2",24.2437 ,23.6313 ,23.8062 ,23.2063 ,42.6812 ,53.0227 ,62.1705 ,58.6477 ,63.5000 ,61.5000 ,58.1023 ,23.3562 , , , ,47.6761 ,49.6534 ,63.5966 ,69.6250 ,60.7045 , ,54.2159 
"2018.09.16_18:3",24.3958 ,23.5833 ,23.9688 ,22.9375 ,44.9312 ,53.0938 ,62.3062 ,58.2875 ,63.5063 ,61.5000 ,57.9312 ,23.2125 , , , ,48.7062 ,49.7375 ,63.6187 ,69.6250 ,60.6875 , ,54.0812 
"2018.09.16_18:4",24.6625 ,23.6687 ,24.1080 ,22.7159 ,46.6875 ,53.1562 ,62.4188 ,58.0500 ,63.5375 ,61.5000 ,57.7875 ,22.9489 , , , ,49.7750 ,49.8250 ,63.6125 ,69.6375 ,60.6938 , ,54.0375 
"2018.09.16_18:5",24.7875 ,23.6250 ,24.1687 ,22.5000 ,48.0688 ,53.2216 ,62.5114 ,57.9091 ,63.5625 ,61.5000 ,57.6591 ,22.6875 , , , ,50.8580 ,49.8977 ,63.5739 ,69.6705 ,60.6875 , ,54.0625 
"2018.09.16_19:0",24.9187 ,23.4187 ,24.1187 ,22.3438 ,49.0438 ,53.2812 ,62.5812 ,57.8625 ,63.5750 ,61.5063 ,57.5500 ,22.5188 , , , ,51.8375 ,49.9688 ,63.5625 ,69.6875 ,60.6875 , ,54.1250 
"2018.09.16_19:1",24.9931 ,23.1806 ,23.9830 ,22.1705 ,49.8977 ,53.3500 ,62.6250 ,57.8625 ,63.6250 ,61.5375 ,57.4937 ,22.4318 , , , ,52.6812 ,50.0312 ,63.5625 ,69.6875 ,60.6875 , ,54.2125 
